epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.9346,1.66197,2.442,1.25751,0.71379,0.7093,0.73186,0.41066,1.43718,1.91783,1.09389,0.00038,0.00038,0.00038
2,131.38,1.56259,1.52305,1.16256,0.7319,0.7093,0.75235,0.46105,1.30706,1.8274,1.03841,0.000764556,0.000764556,0.000764556
3,196.625,1.52794,1.4056,1.1351,0.67149,0.63953,0.67848,0.37608,1.3828,1.50781,1.09931,0.00113327,0.00113327,0.00113327
4,258.773,1.60955,1.4109,1.18848,0.62446,0.55814,0.57723,0.31336,1.4894,2.57407,1.2229,0.00148615,0.00148615,0.00148615
5,320.035,1.64316,1.43542,1.21807,0.24213,0.54651,0.2143,0.11466,1.48,3.07834,1.21365,0.00182318,0.00182318,0.00182318
6,382.284,1.66096,1.26487,1.20599,0.07616,0.5,0.05736,0.03067,1.5963,24.4782,1.34708,0.001802,0.001802,0.001802
7,444.439,1.61787,1.31467,1.25937,0.64547,0.46512,0.51356,0.27025,1.57389,1.75719,1.33867,0.0017624,0.0017624,0.0017624
8,506.319,1.64592,1.34673,1.22969,0.6458,0.34884,0.37288,0.20005,1.70262,2.33467,1.38856,0.0017228,0.0017228,0.0017228
9,568.229,1.57537,1.32362,1.26608,0.49438,0.43205,0.39297,0.20446,2.07594,2.41795,2.10832,0.0016832,0.0016832,0.0016832
10,630.246,1.58299,1.19492,1.16466,0.2451,0.27563,0.11075,0.05764,2.17053,3.34052,2.18856,0.0016436,0.0016436,0.0016436
11,692.893,1.52842,1.13214,1.1593,0.07892,0.19767,0.03163,0.0158,2.22181,5.93361,2.35603,0.001604,0.001604,0.001604
12,755.284,1.53041,1.1088,1.17304,0.74997,0.60465,0.65254,0.34457,1.6329,1.5276,1.30733,0.0015644,0.0015644,0.0015644
